status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit
0,-1.2131236713695783,2,3,-0.6749342368845287,1,2,1,1,0,2,0,0,0,1,1,1,1,1,0,1
2,0.02655670858389198,2,9,-0.18056644572005942,2,4,4,1,0,2,2,0,0,0,2,1,1,0,0,0
2,3.249725696462914,2,7,1.069016463605207,1,2,4,1,0,4,3,0,2,2,1,2,1,0,0,0
0,-0.7172515193881902,2,7,-0.7366858489897818,0,2,4,0,0,4,1,1,0,0,1,2,1,1,0,1
0,-0.7172515193881902,4,3,-0.3654663877133749,1,4,3,1,0,3,1,0,2,1,2,2,1,0,0,0
0,-0.7172515193881902,2,0,-0.6756440255294166,1,3,2,1,0,3,2,0,2,1,1,2,1,0,0,0
2,0.02655670858389198,3,0,-0.3274926952118687,1,2,1,1,0,4,1,0,2,1,2,2,1,0,0,1
0,0.27449278457458604,2,3,-0.5425586546129227,1,1,4,1,1,1,1,1,2,1,1,1,1,0,1,1
2,-0.7172515193881902,4,0,-0.3228790690200969,3,3,3,1,0,3,2,0,2,1,1,3,1,1,0,1
3,-0.46931544339749615,2,7,-1.0234404615245207,1,1,4,0,0,4,1,1,2,0,1,2,1,1,0,1
2,0.27449278457458604,1,7,-0.5106181655929642,1,3,4,0,0,4,3,0,0,2,1,1,1,0,0,0
1,-1.2131236713695783,4,4,-0.6110532588446116,1,3,1,0,0,2,2,1,2,0,2,2,1,1,0,1
1,1.2662370885373622,4,0,1.1847120127219457,1,4,4,1,0,4,2,0,2,1,2,3,1,1,0,1
1,-0.7172515193881902,4,3,0.896182928574987,0,4,2,1,0,4,1,0,2,0,1,2,1,1,0,1
1,-0.7172515193881902,2,0,0.08915323933736816,0,1,2,1,0,3,1,0,2,1,1,3,2,1,0,1
1,-0.22137936740680209,2,4,-1.0088897943043174,1,0,3,0,1,4,0,1,2,0,1,2,1,0,0,0
0,1.0183010125466683,4,3,0.35674355846013184,3,2,1,0,0,4,2,1,2,1,2,2,1,0,0,0
1,2.2579813925001386,1,9,0.11825457377777482,1,2,1,0,0,1,0,0,1,1,1,2,1,0,0,1
1,0.27449278457458604,4,3,0.6651467246639536,1,4,4,1,0,4,2,0,2,1,1,2,1,1,0,1
2,0.27449278457458604,4,3,0.5182204751721444,1,1,2,0,0,4,2,0,0,1,1,1,1,0,0,0
0,-0.22137936740680209,2,5,-0.7306526455082342,1,2,4,1,0,3,0,0,2,1,1,1,1,1,0,0
1,0.27449278457458604,2,9,-0.7161019782880308,1,3,4,1,0,1,0,0,2,1,1,2,1,1,0,1
1,-1.2131236713695783,4,4,-0.5450429148700306,1,4,2,1,0,2,0,0,2,0,2,2,1,0,0,1
0,0.27449278457458604,2,3,-0.09042328781928757,1,2,2,1,0,2,0,1,2,0,1,1,1,0,0,1
0,-0.46931544339749615,2,3,-0.5077790110134124,1,1,4,0,2,1,1,0,2,0,1,2,1,0,0,1
1,3.249725696462914,2,0,1.1538362066693193,0,2,4,1,0,4,3,0,2,2,1,2,2,1,0,1
2,-0.22137936740680209,4,3,-0.7029708883576034,1,1,4,0,0,1,1,0,2,1,2,2,1,0,0,1
2,-0.8825422367153195,2,0,1.4310086724980704,1,0,2,1,0,4,3,0,0,2,1,3,1,1,0,1
1,0.27449278457458604,2,4,-0.6185060396159353,1,1,4,0,0,3,2,0,1,1,1,2,1,1,0,1
0,-1.2131236713695783,4,4,-0.7476875729855453,0,4,4,1,0,4,0,0,2,1,2,2,1,1,0,1
1,3.249725696462914,2,4,2.4374889709492082,2,3,2,0,0,4,0,1,2,1,1,2,1,1,0,1
1,-0.8825422367153195,4,3,-0.4009558199577733,1,1,1,0,0,3,0,1,2,0,2,2,1,0,0,1
1,0.6050742192288447,4,4,-0.18908390945871503,1,4,4,1,0,2,2,0,2,1,2,2,1,0,0,1
1,-0.7172515193881902,4,0,-0.9205211080157654,2,3,4,0,0,3,2,0,2,1,2,2,1,1,0,1
1,-0.7172515193881902,4,4,-0.908099806730226,1,4,4,1,0,4,0,0,2,1,3,2,1,0,0,1
1,-0.22137936740680209,0,9,0.31557581705662974,1,2,2,1,0,2,2,0,1,1,2,2,2,0,0,0
1,-0.7172515193881902,2,7,-0.668191244758093,1,4,4,1,0,4,1,0,0,1,3,2,2,1,0,1
2,1.2662370885373622,2,4,0.5391592401963394,1,1,4,0,0,1,3,0,2,1,1,3,1,1,0,1
0,-0.8825422367153195,2,4,-0.34097867946474003,1,4,3,1,0,4,0,0,2,1,1,1,1,0,0,1
1,0.27449278457458604,2,4,0.9465779223620328,0,1,1,0,0,1,2,0,2,1,2,2,1,1,0,0
1,-0.7172515193881902,1,8,0.06076169354184947,3,2,4,0,0,3,0,0,2,1,1,1,2,0,0,1
2,-0.7172515193881902,0,3,-0.10887779258637473,1,1,4,0,0,3,1,0,2,0,2,2,1,0,0,0
0,0.27449278457458604,2,3,-0.04499681454645767,1,1,4,1,0,1,3,1,0,2,1,2,1,0,0,1
1,-0.7172515193881902,2,3,-0.5464624921598066,1,3,3,0,0,4,0,0,2,1,1,1,1,0,0,1
3,-0.8825422367153195,2,3,-0.7100687748064831,1,1,4,0,0,2,1,1,2,1,1,2,1,0,0,1
0,-1.2131236713695783,4,0,-0.6795478630763004,1,1,2,1,0,4,0,0,2,1,1,1,2,0,1,1
2,1.5141731645280563,3,7,3.0109981960186856,2,3,2,1,0,3,3,0,2,0,1,2,1,1,0,1
2,2.2579813925001386,1,9,1.114442936878037,1,4,4,0,0,3,3,0,2,0,1,2,1,0,0,0
1,0.27449278457458604,2,0,-0.7192960271900266,1,1,4,1,0,2,0,0,2,1,1,2,1,0,0,1
0,-1.2131236713695783,2,0,-0.6749342368845287,0,0,4,0,0,3,1,0,2,1,1,3,1,1,0,1
1,0.10920206724745667,2,4,-0.21321672338490594,3,4,3,1,0,4,2,0,2,1,1,2,1,0,0,1
2,-0.22137936740680209,4,9,0.11151158165133913,1,0,3,1,0,3,2,0,2,1,3,0,2,1,0,1
0,2.2579813925001386,0,3,1.3639336455561575,1,2,3,1,0,4,3,0,2,2,2,2,2,0,0,0
3,0.27449278457458604,4,3,0.1210937283573267,0,4,4,1,1,4,3,1,2,0,2,2,1,0,0,1
0,-0.22137936740680209,1,4,-0.47406405038123395,1,1,3,1,1,4,3,0,0,2,1,3,1,1,0,1
3,-0.46931544339749615,2,9,-0.20895799151557812,1,3,2,1,0,4,1,0,2,0,1,2,1,1,0,1
1,-1.2131236713695783,4,4,-0.9141330102117737,0,4,4,1,0,4,3,0,2,2,2,2,1,0,0,1
0,-0.22137936740680209,4,0,0.7190906616754392,1,4,2,1,0,4,3,0,2,2,3,3,1,1,0,1
1,0.27449278457458604,4,4,-0.5056496450787484,1,3,4,1,2,2,2,0,2,1,2,2,1,1,0,1
1,-0.22137936740680209,4,3,0.17894150291569602,1,1,3,1,0,2,2,0,2,1,2,3,1,1,0,1
1,-0.7172515193881902,0,3,-0.1834056002996113,1,4,2,1,0,4,1,0,2,1,2,2,1,0,0,1
2,-0.7172515193881902,2,4,-0.8907099849304707,3,2,4,1,0,3,0,0,2,1,1,1,1,0,0,0
